"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
3.98600768891254e-67,4.35321526372631,0.525,0.09,1.33682725870749e-62,"ICAM2","Upregulated"
2.39109075545075e-66,7.50510553032076,0.075,0.001,8.01924017563074e-62,"AC010976.2","Upregulated"
1.15808977364017e-65,7.77907577955332,0.108,0.003,3.88400148283439e-61,"MYLK2","Upregulated"
1.527164446603e-65,2.24260198071761,0.633,0.116,5.12180412101714e-61,"GRASP","Upregulated"
4.23690670012746e-65,3.56459617932117,0.533,0.09,1.42097376908875e-60,"LPAR6","Upregulated"
4.13609835920748e-64,3.23836202035193,0.858,0.311,1.38716466771101e-59,"ID3","Upregulated"
3.60708679108289e-61,3.59387630758524,0.333,0.036,1.20974476799338e-56,"LOXL2","Upregulated"
4.46810026942602e-61,4.2349253116693,0.608,0.138,1.4985114683601e-56,"DOCK9","Upregulated"
4.59916734282285e-61,6.46837727422209,0.092,0.002,1.54246874343593e-56,"AC002070.1","Upregulated"
5.34897349688673e-61,3.90192319981135,0.167,0.008,1.79393873138587e-56,"GIMAP5","Upregulated"
8.49700520535758e-61,8.22952005593143,0.058,0,2.84972560577283e-56,"CADM3-AS1","Upregulated"
1.0005374993518e-59,5.10949385487256,0.45,0.073,3.35560266532606e-55,"GALNT18","Upregulated"
2.22065333430912e-59,7.12533205809688,0.167,0.009,7.44762715260593e-55,"SLC38A5","Upregulated"
3.06666467778971e-59,3.49245684522503,0.508,0.091,1.02849799963711e-54,"PREX2","Upregulated"
9.27304714179239e-58,5.19815641341279,0.483,0.088,3.10999455041433e-53,"DOCK6","Upregulated"
9.63644349748406e-58,2.63793352178755,0.65,0.143,3.2318704201862e-53,"CLEC2B","Upregulated"
1.12626785127806e-57,5.51200086694645,0.1,0.003,3.77727711961635e-53,"NOX4","Upregulated"
2.4393438237728e-57,5.44304673108355,0.267,0.025,8.18107131616922e-53,"ARAP3","Upregulated"
4.35391019808869e-57,3.76938807818815,0.317,0.035,1.46021440223498e-52,"TSHZ2","Upregulated"
4.57287665568028e-57,3.352836097167,0.392,0.052,1.53365137278205e-52,"AKT3","Upregulated"
8.27107576927538e-57,4.58392132753787,0.217,0.016,2.77395339149958e-52,"NID2","Upregulated"
9.51021738196667e-57,3.83350876108666,0.842,0.356,3.18953670556398e-52,"SLC9A3R2","Upregulated"
1.07459313342684e-56,5.39247562097619,0.275,0.027,3.60397045088692e-52,"SMAD6","Upregulated"
1.4329111918383e-56,4.13898947765892,0.35,0.044,4.80569755518731e-52,"EPHA4","Upregulated"
1.63502543749629e-56,3.02546961643504,0.658,0.16,5.48354831227507e-52,"HTRA1","Upregulated"
3.85434593509283e-56,7.66232259406576,0.05,0,1.29267053971143e-51,"AL596442.2","Upregulated"
4.27051010013329e-56,4.20753269219723,0.558,0.12,1.4322436773827e-51,"ITGA6","Upregulated"
6.16623462870108e-56,4.13553966217288,0.5,0.095,2.06803176977377e-51,"LAMB1","Upregulated"
2.30405132675309e-55,5.17386167505042,0.242,0.021,7.72732733966451e-51,"ACKR3","Upregulated"
2.73457412073213e-55,5.36574555174035,0.167,0.009,9.17121468611141e-51,"FAT4","Upregulated"
6.79702381022815e-55,5.29167187954719,0.158,0.008,2.27958584547432e-50,"TNXB","Upregulated"
1.0665724883473e-54,4.83347560020322,0.792,0.333,3.57707081141917e-50,"HYAL2","Upregulated"
2.01959600728784e-54,2.79467838910077,0.392,0.054,6.77332108924196e-50,"TFPI","Upregulated"
6.01232621399694e-54,5.32334667508705,0.183,0.012,2.01641396565029e-49,"GPR85","Upregulated"
1.20109575062595e-53,5.268720729439,0.317,0.038,4.02823492844932e-49,"EXOC3L1","Upregulated"
1.25665960822857e-53,3.00866600543932,0.508,0.095,4.21458499407699e-49,"MEF2C","Upregulated"
1.39383490329389e-53,6.38715769182775,0.133,0.006,4.67464349866706e-49,"SEMA3G","Upregulated"
2.7637722476109e-53,4.64652947703022,0.35,0.047,9.26913936403744e-49,"CD200","Upregulated"
4.0877868228479e-53,3.39293484922288,0.25,0.023,1.37096194464673e-48,"CASP10","Upregulated"
6.34096541829208e-53,5.52625724636489,0.183,0.012,2.1266329819868e-48,"APLN","Upregulated"
2.29715033930768e-52,3.08871525643351,0.392,0.057,7.70418280797011e-48,"CD40","Upregulated"
2.58307330576201e-52,7.35695112487239,0.042,0,8.66311125286462e-48,"AP000459.2","Upregulated"
6.1215786436567e-52,6.37878743427508,0.075,0.001,2.05305504550958e-47,"GRAPL","Upregulated"
2.32229687837409e-51,5.0334095156393,0.592,0.157,7.78851927069103e-47,"PLPP1","Upregulated"
3.02920279626288e-50,1.41317475706912,0.5,0.093,1.01593403381065e-45,"FN1","Upregulated"
5.44167048746217e-50,5.56064034166651,0.108,0.004,1.82502744808506e-45,"BMP6","Upregulated"
1.86586026468817e-49,4.7593036501094,0.65,0.207,6.2577221557112e-45,"SPRY1","Upregulated"
2.40840423292846e-49,2.73296463095188,0.425,0.071,8.07730611639548e-45,"FSTL1","Upregulated"
4.33596220879591e-49,1.68686082741112,0.675,0.187,1.45419500558597e-44,"CALD1","Upregulated"
6.49915498319532e-49,3.72252353315675,0.742,0.294,2.17968659826404e-44,"EPAS1","Upregulated"
7.22622609875184e-49,4.26035417944981,0.183,0.013,2.42353170899939e-44,"P2RY1","Upregulated"
8.85488109393081e-48,3.85836598052124,0.425,0.076,2.96975002128252e-43,"VASH1","Upregulated"
9.5743565399473e-48,3.50122170340421,0.258,0.027,3.21104769636752e-43,"RBMS3","Upregulated"
3.84332602772575e-47,3.30553994819295,0.417,0.072,1.28897468317866e-42,"ZBTB16","Upregulated"
4.33620342351726e-47,2.73842359132866,0.308,0.038,1.45427590417922e-42,"TGFB1I1","Upregulated"
7.68948878447013e-47,4.06686459985617,0.25,0.026,2.57890074853559e-42,"RASGRF2","Upregulated"
9.59562213785237e-47,2.90997713726176,0.283,0.033,3.21817975259293e-42,"TNFRSF4","Upregulated"
1.02984638365447e-46,5.14673837131201,0.15,0.009,3.45389880150037e-42,"VCAM1","Upregulated"
1.15928534984831e-46,4.4140988476534,0.483,0.106,3.88801120632128e-42,"PLXNA2","Upregulated"
1.90557084779426e-46,4.70065201879462,0.275,0.033,6.39090350933237e-42,"MMP2","Upregulated"
2.84341477584295e-46,4.30330097676236,0.083,0.002,9.53624447522207e-42,"DPEP1","Upregulated"
5.39695455419411e-46,3.1545526558383,0.325,0.044,1.81003061838562e-41,"LRRC8C","Upregulated"
5.58760816243534e-46,5.52569321552418,0.125,0.006,1.87397202551756e-41,"SAMD5","Upregulated"
9.59370067699644e-46,3.14448363987866,0.375,0.06,3.21753533305107e-41,"CAV2","Upregulated"
1.07137441753251e-45,1.71260272875089,0.75,0.227,3.59317552152054e-41,"MGP","Upregulated"
1.56693732933208e-45,3.30492321348248,0.292,0.036,5.25519441511392e-41,"LAYN","Upregulated"
1.72267586410352e-45,3.25313637819426,0.558,0.134,5.77751031303039e-41,"C11orf96","Upregulated"
1.90818540196437e-45,4.70773333668059,0.683,0.259,6.39967220110812e-41,"INSR","Upregulated"
6.60064987669239e-45,3.48295614683994,0.608,0.178,2.21372595564509e-40,"PALMD","Upregulated"
8.17691195818656e-45,8.21255262509202,0.042,0,2.74237273253661e-40,"TDGF1","Upregulated"
9.19032465040516e-45,3.2433580826191,0.658,0.215,3.08225108125288e-40,"NRP1","Upregulated"
1.16033342279613e-44,3.81420789897947,0.175,0.013,3.89152623337368e-40,"STARD8","Upregulated"
1.28468332597438e-44,2.62518891567566,0.617,0.18,4.30857093865289e-40,"COL18A1","Upregulated"
1.65028066932727e-44,3.06233410877359,0.325,0.046,5.53471130878979e-40,"LHFPL6","Upregulated"
1.94794762030378e-44,1.67101163447405,0.383,0.062,6.53302672897482e-40,"BGN","Upregulated"
2.16801229504826e-44,3.42916237305961,0.683,0.247,7.27107963513285e-40,"EVA1B","Upregulated"
3.42546968313016e-44,3.93049177013357,0.483,0.11,1.14883402232819e-39,"PLEKHG1","Upregulated"
8.27330130200457e-44,4.20588516133823,0.367,0.062,2.77469979066629e-39,"TMEM88","Upregulated"
1.29022329828567e-43,6.11894570772583,0.158,0.011,4.32715089779047e-39,"MYRIP","Upregulated"
1.71197458342488e-43,2.8714759227395,0.3,0.04,5.74162035789035e-39,"MFNG","Upregulated"
2.95059708116119e-43,3.72594412667707,0.192,0.017,9.8957124907984e-39,"ADAMTSL2","Upregulated"
4.13291089864758e-43,3.03125263387745,0.45,0.089,1.38609565718843e-38,"SERPINE1","Upregulated"
3.22380418905788e-42,2.84039115607315,0.8,0.372,1.08119944892623e-37,"ID1","Upregulated"
4.12810117151068e-42,4.65082466128294,0.55,0.159,1.38448257090125e-37,"GRB10","Upregulated"
1.21015438431595e-41,3.36117837676627,0.342,0.055,4.05861577411884e-37,"CAVIN3","Upregulated"
1.59978013398477e-41,-2.6219088478813,0.892,0.979,5.36534261335814e-37,"FTH1","Downregulated"
2.33019476505125e-41,5.50041805281486,0.25,0.03,7.81500720302887e-37,"COL8A1","Upregulated"
4.44087504588793e-41,4.29400324856192,0.55,0.162,1.48938067288989e-36,"RGS3","Upregulated"
1.35445058172695e-40,4.84512370925672,0.05,0.001,4.54255636099585e-36,"MMP1","Upregulated"
1.41275944870652e-40,3.42208799177661,0.308,0.045,4.73811263907194e-36,"PALD1","Upregulated"
