"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.1065127356463,0.358,0.001,0,"11","HSPA12B"
0,10.0015464154159,0.342,0.001,0,"11","ARHGEF15"
5.5256301830885e-320,9.98569509188999,0.342,0.003,1.85318585080422e-315,"11","ESM1"
0,9.76853938123818,0.433,0.004,0,"11","SLCO2A1"
0,9.73922392251147,0.533,0.004,0,"11","TIE1"
1.03359644697329e-258,9.5438589550139,0.333,0.005,3.46647576385901e-254,"11","FCN3"
0,9.44443081881289,0.642,0.005,0,"11","ECSCR"
0,9.43037018236876,0.742,0.005,0,"11","CLEC14A"
0,9.32988520111469,0.617,0.01,0,"11","CD34"
4.78135214984328e-266,9.30518207255209,0.333,0.005,1.60356988401444e-261,"11","FLT4"
0,9.19274275595177,0.667,0.012,0,"11","PTPRB"
0,9.10652716662705,0.542,0.003,0,"11","EMCN"
0,9.0431988943669,0.508,0.006,0,"11","KDR"
6.8491729975571e-286,9.04216622228418,0.375,0.006,2.2970756399207e-281,"11","BTNL9"
0,9.03214271948787,0.383,0.003,0,"11","PCAT19"
0,8.94578651959062,0.592,0.015,0,"11","PLVAP"
6.56119177677175e-321,8.90803999889448,0.283,0.001,2.20049249809371e-316,"11","TEK"
0,8.90538068238804,0.658,0.013,0,"11","CDH5"
0,8.3776431024279,0.375,0.004,0,"11","ABCG2"
0,12.674844869964,0.467,0.001,0,"12","S100A12"
0,9.29749690637312,0.411,0.003,0,"12","SERPINB2"
0,9.11156594963654,0.794,0.007,0,"12","FCN1"
7.62070149608653e-202,7.26922220908486,0.308,0.006,2.5558308677575e-197,"12","MCEMP1"
1.56086349906025e-199,6.88857100141121,0.935,0.096,5.23482400314826e-195,"12","S100A8"
9.70934974444537e-132,6.80535915427826,0.393,0.02,3.25632171729209e-127,"12","CFP"
5.2733843687063e-147,6.56511306116942,0.327,0.011,1.76858764957672e-142,"12","CD300E"
7.31031781631618e-105,6.13331199462033,0.28,0.012,2.45173438923612e-100,"12","AC245128.3"
1.02306355063366e-105,5.75000411555603,0.944,0.224,3.43115053611518e-101,"12","S100A9"
1.28830551214458e-159,5.62674737714162,0.645,0.049,4.3207190266305e-155,"12","VCAN"
3.12710729543622e-46,5.11409944615486,0.28,0.031,1.0487692447434e-41,"12","MARCO"
2.5602429181606e-59,5.10103482980818,0.402,0.052,8.58654269892703e-55,"12","CSTA"
2.10691299919088e-31,4.70807916617126,0.308,0.054,7.06616481668638e-27,"12","SMIM25"
2.1854916295649e-131,4.64409208297267,0.682,0.068,7.32970182723477e-127,"12","CD52"
7.29051072895625e-37,4.64288888354716,0.271,0.036,2.44509148827735e-32,"12","TNFSF14"
3.68996495145964e-34,4.64015014659118,0.271,0.038,1.23754044542053e-29,"12","JAML"
6.93289517140621e-56,4.60628054986574,0.402,0.054,2.32515438258622e-51,"12","TREM1"
5.81120498754541e-62,4.6048374714751,0.327,0.031,1.94896192872298e-57,"12","AQP9"
2.26729742026212e-31,4.59979243298903,0.346,0.068,7.6040620880751e-27,"12","SEMA6B"
6.06324930711794e-64,4.5700729056804,0.505,0.077,2.03349255262122e-59,"12","IL1RN"
7.26411456860422e-113,4.54991030257976,0.86,0.147,2.43623874401848e-108,"12","LYZ"
1.05873060642675e-89,4.53845311950431,0.692,0.11,3.55077070783405e-85,"12","LST1"
1.71231365767801e-109,4.52173876839035,0.579,0.058,5.74275754512049e-105,"12","EREG"
1.87289805723934e-53,4.50986042495254,0.439,0.068,6.28132550436928e-49,"12","FPR1"
3.1356708385257e-27,4.47243836956577,0.561,0.223,1.05164128582475e-22,"12","THBS1"
1.12722920346903e-150,12.9285522651857,0.476,0.021,3.78050130259443e-146,"13","IGKC"
1.11926611857002e-143,11.26438805781,0.464,0.021,3.75379470846013e-139,"13","IGHG1"
1.24060767957545e-49,10.6634306129983,0.333,0.034,4.16075003576015e-45,"13","IGLC3"
4.23915996861755e-302,10.4471866241642,0.429,0.006,1.42172947027495e-297,"13","IGHG3"
1.81048205116226e-73,10.3831643955424,0.345,0.024,6.071994703188e-69,"13","IGLC2"
0,10.0541047192966,0.31,0.001,0,"13","MS4A1"
1.97253219011263e-316,8.93524127153272,0.488,0.008,6.61547845919973e-312,"13","CD79A"
6.56386603126182e-150,8.72912627609595,0.31,0.008,2.20138938956459e-145,"13","BANK1"
1.2721719028338e-53,6.04527408823163,0.31,0.027,4.266610127724e-49,"13","DERL3"
5.44480326603875e-44,5.31709815996787,0.298,0.03,1.82607811936408e-39,"13","CCR7"
2.21258143333135e-18,4.89885387580954,0.345,0.092,7.4205556111067e-14,"13","MZB1"
4.8842927776935e-15,3.18675964051029,0.262,0.061,1.63809411178285e-10,"13","CD40"
5.15536463309018e-14,2.9669551623665,0.298,0.081,1.72900619064578e-09,"13","IRF8"
1.02708258127136e-18,2.96050673754471,0.488,0.163,3.44462956106788e-14,"13","CD37"
0.00928070893980604,2.79613010308278,0.274,0.205,1,"13","NFKBID"
3.41860668269907e-17,2.74052347971594,0.357,0.097,1.14653230924361e-12,"13","BIRC3"
9.29718342438613e-25,2.72386467004919,0.369,0.074,3.11808937687062e-20,"13","CD52"
4.87506739142297e-08,2.59145289796322,0.274,0.1,0.00163500010173544,"13","MEF2C"
0.000223300896569247,2.53790139574132,0.333,0.218,1,"13","LIMD2"
4.15157825872279e-16,2.50967192209583,0.321,0.081,1.39235631641045e-11,"13","CD48"
3.91214032427004e-05,2.46983899927467,0.262,0.128,1,"13","BCL2"
2.44744243808409e-20,2.45899968839506,0.298,0.058,8.20823244884642e-16,"13","CYTIP"
4.32685011918078e-09,2.43414721501306,0.5,0.305,0.000145113899297085,"13","SMAP2"
9.69173404614542e-11,2.3566180091593,0.274,0.082,3.25041376439625e-06,"13","NCF1"
8.92802173778757e-09,2.28726579330021,0.286,0.105,0.000299427993041919,"13","RHOH"
0,10.733390578522,0.326,0.001,0,"14","ASCL1"
0,10.5612771551522,0.587,0.005,0,"14","BCAN"
0,10.2418188925605,0.457,0.001,0,"14","CLDN10"
1.16895931806039e-320,10.2388040386776,0.283,0.001,3.92045576091093e-316,"14","SNTG1"
0,10.1755083313474,0.326,0,0,"14","CA10"
0,10.1617870607527,0.413,0.002,0,"14","TNR"
1.76881330389287e-150,9.79206416556652,0.326,0.005,5.93224605859591e-146,"14","NXPH1"
0,9.77770213080619,0.543,0.003,0,"14","GAP43"
6.15758725657039e-196,9.62953387764358,0.348,0.004,2.06513161410858e-191,"14","ATCAY"
4.89070532656927e-62,9.44908309848788,0.435,0.027,1.6402447524248e-57,"14","C1QL1"
0,9.42047189480549,0.543,0.002,0,"14","CHL1"
9.43631130002823e-170,9.25456762582484,0.283,0.003,3.16475008380347e-165,"14","COL20A1"
6.85335489287864e-258,9.04687599461228,0.261,0.001,2.29847816397364e-253,"14","VAT1L"
0,9.02498628574869,0.63,0.006,0,"14","PTPRZ1"
5.8644649922688e-180,8.95223983160791,0.304,0.003,1.96682426910711e-175,"14","MEGF11"
7.54123674093022e-267,8.74003121415751,0.761,0.017,2.52917997817318e-262,"14","GFAP"
3.77922588807089e-305,8.66085860813392,0.348,0.002,1.26747677834121e-300,"14","LUZP2"
0,8.49054314485577,0.739,0.006,0,"14","GPM6A"
3.56388543037388e-273,8.46805842593897,0.261,0.001,1.19525589563879e-268,"14","NKAIN4"
3.16550864613091e-207,8.45556764992766,0.478,0.008,1.06164828973938e-202,"14","SCG3"
0,8.17839665526909,0.348,0.001,0,"14","LY6H"
3.93233056842358e-115,8.14220839726125,0.348,0.008,1.3188250260379e-110,"14","FGF12"
4.91185209700588e-226,8.05512401570817,0.326,0.003,1.64733695629383e-221,"14","GNG3"
2.10829679584469e-157,8.00063006451373,0.348,0.005,7.07080579390392e-153,"14","SNAP25"
8.00391650662918e-221,7.95832197894389,0.261,0.001,2.68435351799329e-216,"14","UNC80"
