"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
1.56046010862391e-06,1.04707471296201,0.298,0.133,0.0523347111230285,"PPA1","Not significant",5.80674732909795,5.80674732909795
1.58921862092638e-06,-0.732709186377413,0.659,0.703,0.053299214108629,"APLP2","Not significant",5.79881635494426,5.79881635494426
1.74586079917487e-06,0.54967081299183,0.682,0.47,0.0585526794827268,"ZFAS1","Not significant",5.75799038638087,5.75799038638087
1.9533151674021e-06,-0.501843624645864,0.771,0.855,0.0655102840843316,"GLUL","Not significant",5.70922767764374,5.70922767764374
2.00390783703974e-06,1.44605736731239,0.273,0.12,0.0672070610386388,"MID1IP1","Not significant",5.69812225625065,5.69812225625065
2.02062927415295e-06,0.573175267587332,0.484,0.297,0.0677678645965417,"TMEM14C","Not significant",5.69451335939837,5.69451335939837
2.04807184376349e-06,0.793389370234119,0.674,0.518,0.0686882334961398,"GPR183","Not significant",5.68865481292922,5.68865481292922
2.11855061648135e-06,1.36360032976678,0.136,0.024,0.0710519505755516,"CD80","Not significant",5.67396115536092,5.67396115536092
2.39304258051331e-06,0.743738908204305,0.804,0.723,0.0802578620652553,"CXCL8","Not significant",5.62104957371525,5.62104957371525
2.41552990742788e-06,-0.620789126558984,0.601,0.727,0.0810120420353163,"RNASE1","Not significant",5.61698758100897,5.61698758100897
2.42794764510427e-06,0.441391604955471,0.419,0.213,0.081428508121507,"VMO1","Not significant",5.61476068237745,5.61476068237745
2.57163819889641e-06,1.73754082501461,0.281,0.129,0.0862476019145877,"RPL17","Not significant",5.58979013188911,5.58979013188911
2.77118765368032e-06,0.649754595213956,0.645,0.458,0.0929400915291307,"OLR1","Not significant",5.55733406454672,5.55733406454672
3.23694049499563e-06,-1.19964053605678,0.339,0.462,0.108560510321163,"MACF1","Not significant",5.48986528420341,5.48986528420341
3.24641539352229e-06,-1.05878815417246,0.541,0.606,0.108878279467951,"DAB2","Not significant",5.48859591101245,5.48859591101245
3.36152103843293e-06,0.505152085033914,0.822,0.731,0.112738692586964,"RPL35","Not significant",5.47346416632306,5.47346416632306
3.50315649934594e-06,0.705401730126619,0.397,0.221,0.117488862675064,"UXT","Not significant",5.45554046065999,5.45554046065999
3.70690150779109e-06,0.907145922659665,0.442,0.253,0.124322062768298,"MIR155HG","Not significant",5.43098895300229,5.43098895300229
4.16761454204543e-06,1.21153069877129,0.326,0.165,0.13977345651112,"STAT1","Not significant",5.38011245525648,5.38011245525648
4.17465874464617e-06,0.520666945090118,0.769,0.606,0.140009704977943,"RPL22","Not significant",5.37937901991078,5.37937901991078
4.19106309974758e-06,0.490270719741964,0.748,0.602,0.140559874239334,"NPM1","Not significant",5.37767580047231,5.37767580047231
4.60837703865001e-06,0.465283384761513,0.893,0.904,0.154555749122244,"VIM","Not significant",5.33645199592458,5.33645199592458
4.7012632767271e-06,0.898323803509832,0.347,0.181,0.157670967774874,"UBE2L6","Not significant",5.32778542708698,5.32778542708698
4.71049746997485e-06,-1.55028346367779,0.264,0.398,0.157980664148016,"MAF","Not significant",5.32693322513092,5.32693322513092
